sentence,hanzi,pinyin
The sun rises and falls in a seemingly endless cycle.,太阳似乎在无休止的循环中升起和落下。,tài yáng sì hū zài wú xiū zhǐ de xún huán zhōng shēng qǐ hé luò xià 。
"Finally, there is no more moon for us to see.",最后，我们再也看不到月亮了。,zuì hòu ， wǒ mén zài yě kàn bù dào yuè liàng le 。
Where did the moon go?,月球去了哪里?,yuè qiú qù le nǎ lǐ ?
What is left but a tree containing endless fruit?,除了一棵结满果实的树，还剩下什么?,chú le yī kē jié mǎn guǒ shí de shù ， hái shèng xià shén me ?
"Yes please, let's do it!",是的，让我们开始吧!,shì de ， ràng wǒ mén kāi shǐ ba !
"Okay, if you think that is the best path.",好吧，如果你觉得这是最好的办法。,hǎo ba ， rú guǒ nǐ jiào dé zhè shì zuì hǎo de bàn fǎ 。
The bird seems to be flying upside down.,这只鸟好像是倒着飞。,zhè zhī niǎo hǎo xiàng shì dǎo zhe fēi 。
I don't see why that tree needs to be so tall.,我不明白为什么那棵树要那么高。,wǒ bù míng bái wéi shén me nà kē shù yào nà me gāo 。
I often lose myself in the beauty of the forest.,我经常沉浸在森林的美丽中。,wǒ jīng cháng chén jìn zài sēn lín de měi lì zhōng 。
"Since we last walked here, the tree has grown by quite a lot.",自从我们上次走到这里以来，这棵树长了不少。,zì cóng wǒ mén shàng cì zǒu dào zhè lǐ yǐ lái ， zhè kē shù zhǎng le bù shǎo 。
"However, it would be a lot more interesting to just jump in ourselves.",然而，如果我们自己跳进去，那就有趣多了。,rán ér ， rú guǒ wǒ mén zì jǐ tiào jìn qù ， nà jiù yǒu qù duō le 。
This is basically the way trees grow.,这基本上就是树木生长的方式。,zhè jī běn shàng jiù shì shù mù shēng zhǎng de fāng shì 。
Put in a good word for me.,替我说几句好话。,tì wǒ shuō jǐ jù hǎo huà 。
We will be together until the end.,我们会在一起直到最后。,wǒ mén huì zài yī qǐ zhí dào zuì hòu 。
I love late night walks.,我喜欢深夜散步。,wǒ xǐ huān shēn yè sàn bù 。
Will you love me forever?,你会永远爱我吗?,nǐ huì yǒng yuǎn ài wǒ ma ?
She loves the color of the sky in the early morning.,她喜欢清晨天空的颜色。,tā xǐ huān qīng chén tiān kōng de yán sè 。
"The tree has black leaves, long, slender, and beautiful.",这棵树有黑色的叶子，长长的，细长的，美丽的。,zhè kē shù yǒu hēi sè de yè zǐ ， cháng cháng de ， xì cháng de ， měi lì de 。
Flowers roses grew all around the house.,房子周围长满了花和玫瑰。,fáng zǐ zhōu wéi zhǎng mǎn le huā hé méi gui 。
Look at that clear blue sky!,看那清澈的蓝天!,kàn nà qīng chè de lán tiān !
Purple flowers everywhere!,紫色花朵无处不在!,zǐ sè huā duǒ wú chù bù zài !
"The way he moved, he made it look so easy.",他走路的样子，看起来很轻松。,tā zǒu lù de yàng zǐ ， kàn qǐ lái hěn qīng sōng 。
The rain was falling down hard.,雨下得很大。,yǔ xià dé hěn dà 。
How high can trees grow amongst other trees in the forest?,森林里的树木能长到多高?,sēn lín lǐ de shù mù néng zhǎng dào duō gāo ?
Lower your voice.,小声点。,xiǎo shēng diǎn 。
I was living on a big piece of land when I was young.,我年轻的时候住在一大片土地上。,wǒ nián qīng de shí hòu zhù zài yī dà piàn tǔ dì shàng 。
That tree is pretty darn big.,那棵树真够大的。,nà kē shù zhēn gòu dà de 。
My imagination runs wild sometimes.,我的想象力有时很疯狂。,wǒ de xiǎng xiàng lì yǒu shí hěn fēng kuáng 。
The forest was full of wild flowers.,森林里开满了野花。,sēn lín lǐ kāi mǎn le yě huā 。
The lake is calm today.,今天湖面很平静。,jīn tiān hú miàn hěn píng jìng 。
Sitting still helps me stay calm when I am having a bad day.,当我有糟糕的一天时，静坐能帮助我保持冷静。,dāng wǒ yǒu zāo gāo de yī tiān shí ， jìng zuò néng bāng zhù wǒ bǎo chí lěng jìng 。
We wanted to get closer to the wild animals because they were so beautiful.,我们想要更接近野生动物，因为它们是如此美丽。,wǒ mén xiǎng yào gèng jiē jìn yě shēng dòng wù ， yīn wéi tā mén shì rú cǐ měi lì 。
Don't stand so close to the fire.,不要站得离火那么近。,bù yào zhàn dé lí huǒ nà me jìn 。
The storm is far away from here thankfully.,幸好风暴离这里很远。,xìng hǎo fēng bào lí zhè lǐ hěn yuǎn 。
This is the oldest tree on the land.,这是这片土地上最古老的树。,zhè shì zhè piàn tǔ dì shàng zuì gǔ lǎo de shù 。
This forest is full of very old trees.,这片森林里有很多很老的树。,zhè piàn sēn lín lǐ yǒu hěn duō hěn lǎo de shù 。
"The season is currently changing, as you can see since the leaves are getting brown.",季节正在变化，正如你所看到的，因为树叶正在变黄。,jì jié zhèng zài biàn huà ， zhèng rú nǐ suǒ kàn dào de ， yīn wéi shù yè zhèng zài biàn huáng 。
It was as hard as rock.,它像岩石一样坚硬。,tā xiàng yán shí yī yàng jiān yìng 。
Sun is a huge source of energy.,太阳是一种巨大的能源。,tài yáng shì yī zhǒng jù dà de néng yuán 。
She felt energy rushing through her.,她感到浑身充满了活力。,tā gǎn dào hún shēn chōng mǎn le huó lì 。
"If you follow this dirt path that way, you will reach a small forest.",如果你沿着那条土路走，就会到达一座小森林。,rú guǒ nǐ yán zhe nà tiáo tǔ lù zǒu ， jiù huì dào dá yī zuò xiǎo sēn lín 。
I have good feeling about this.,我有很好的预感。,wǒ yǒu hěn hǎo de yù gǎn 。
My father is a really good man.,我爸爸真是个好人。,wǒ bà bà zhēn shì gè hǎo rén 。
What is your sibling's name?,你的兄弟姐妹叫什么名字?,nǐ de xiōng dì jiě mèi jiào shén me míng zì ?
"Go to sleep, sweet child.",睡觉吧，乖孩子。,shuì jiào ba ， guāi hái zǐ 。
Family matters.,家庭很重要。,jiā tíng hěn zhòng yào 。
Welcome to our small but loving family.,欢迎来到我们可爱的小家庭。,huān yíng lái dào wǒ mén kě ài de xiǎo jiā tíng 。
"Peace be with you, friend.",愿平安与你同在，朋友。,yuàn píng ān yǔ nǐ tóng zài ， péng yǒu 。
"One kiss, one hug and one smile is all that it takes.",一个吻，一个拥抱，一个微笑，就足够了。,yī gè wěn ， yī gè yōng bào ， yī gè wēi xiào ， jiù zú gòu le 。
For two years I dreamed of climbing that mountain.,两年来我一直梦想着能爬上那座山。,liǎng nián lái wǒ yī zhí mèng xiǎng zhe néng pá shàng nà zuò shān 。
Knock three times.,敲三下。,qiāo sān xià 。
Where is your favorite place?,你最喜欢的地方是哪里?,nǐ zuì xǐ huān de dì fāng shì nǎ lǐ ?
"He jumped around the field, trying to catch a butterfly.",他在田野里跳来跳去，想抓住一只蝴蝶。,tā zài tián yě lǐ tiào lái tiào qù ， xiǎng zhuā zhù yī zhī hú dié 。
We need to dig a hole and plant this seed.,我们得挖个坑，把种子种下。,wǒ mén dé wā gè kēng ， bǎ zhǒng zǐ zhǒng xià 。
Do you have a plan for the adventure?,你对这次冒险有什么计划吗?,nǐ duì zhè cì mào xiǎn yǒu shén me jì huá ma ?
I could hear interesting sounds like a song traveling through the night across the beautiful sea.,我能听到有趣的声音，就像一首歌曲，穿过美丽的大海穿过夜晚。,wǒ néng tīng dào yǒu qù de shēng yīn ， jiù xiàng yī shǒu gē qǔ ， chuān guò měi lì de dà hǎi chuān guò yè wǎn 。
"If you look carefully around you, you will find beauty everywhere.",如果你仔细看看你的周围，你会发现美无处不在。,rú guǒ nǐ zǎi xì kàn kàn nǐ de zhōu wéi ， nǐ huì fā xiàn měi wú chù bù zài 。
Who do you see in the lake?,你在湖里看见了谁?,nǐ zài hú lǐ kàn jiàn le shuí ?
Come and find me.,来找我吧。,lái zhǎo wǒ ba 。
Find your true path.,找到你真正的道路。,zhǎo dào nǐ zhēn zhèng de dào lù 。
She could not resist the call of the wild.,她无法抗拒野性的呼唤。,tā wú fǎ kàng jù yě xìng de hū huàn 。
Call me tomorrow.,明天打电话给我。,míng tiān dǎ diàn huà gěi wǒ 。
I hope so too.,我也希望如此。,wǒ yě xī wàng rú cǐ 。
"Aside from being pretty, this flower is also rare.",除了好看之外，这种花也很罕见。,chú le hǎo kàn zhī wài ， zhè zhǒng huā yě hěn hǎn jiàn 。
Rain is falling once again.,雨又开始下了。,yǔ yòu kāi shǐ xià le 。
"We must leave, otherwise we will snowed in.",我们必须走了，否则我们会被雪困住的。,wǒ mén bì xū zǒu le ， fǒu zé wǒ mén huì bèi xuě kùn zhù de 。
"It is very cold outside, hence I am wearing a coat.",外面很冷，因此我穿着一件外套。,wài miàn hěn lěng ， yīn cǐ wǒ chuān zhe yī jiàn wài tào 。
This was a rich forest a while ago.,刚才这里还是一片富饶的森林。,gāng cái zhè lǐ hái shì yī piàn fù ráo de sēn lín 。
Go straight ahead and you will find it.,一直往前走，你就会找到的。,yī zhí wǎng qián zǒu ， nǐ jiù huì zhǎo dào de 。
She was hiding behind the giant bush.,她躲在巨大的灌木丛后面。,tā duǒ zài jù dà de guàn mù cóng hòu miàn 。
Birds are flying over the land.,鸟儿在陆地上飞翔。,niǎo ér zài lù dì shàng fēi xiáng 。
I will plant a tree right here.,我要在这里种一棵树。,wǒ yào zài zhè lǐ zhǒng yī kē shù 。
There are many animals in this forest.,这片森林里有许多动物。,zhè piàn sēn lín lǐ yǒu xǔ duō dòng wù 。
What is all this?,这是怎么回事?,zhè shì zěn me huí shì ?
This is totally my favorite place.,这是我最喜欢的地方。,zhè shì wǒ zuì xǐ huān de dì fāng 。
May I have some water please?,请给我一些水好吗?,qǐng gěi wǒ yī xiē shuǐ hǎo ma ?
How long will this storm last?,这场暴风雨会持续多久?,zhè chǎng bào fēng yǔ huì chí xù duō jiǔ ?
"In the middle of the forest, you can see an old log rotting away into the ground.",在森林的中央，你可以看到一根旧木头腐烂在地里。,zài sēn lín de zhōng yāng ， nǐ kě yǐ kàn dào yī gēn jiù mù tóu fǔ làn zài dì lǐ 。
Sunrise is one of the beautiful parts of the day.,日出是一天中最美的部分之一。,rì chū shì yī tiān zhōng zuì měi de bù fēn zhī yī 。
Let's stay here for an hour longer.,咱们在这儿再呆一个小时吧。,zán mén zài zhè ér zài dāi yī gè xiǎo shí ba 。
Every year I go and walk by the lake.,每年我都去湖边散步。,měi nián wǒ dōu qù hú biān sàn bù 。
The bird is still sitting still on the branch.,那只鸟仍然一动不动地坐在树枝上。,nà zhī niǎo réng rán yī dòng bù dòng dì zuò zài shù zhī shàng 。
Don't wander off too far.,别走得太远。,bié zǒu dé tài yuǎn 。
Tell me if you can see the moon tonight.,告诉我你今晚是否能看到月亮。,gào sù wǒ nǐ jīn wǎn shì fǒu néng kàn dào yuè liàng 。
I was eating the fruit but then I decided that I want to eat something else.,我正在吃水果，但后来我决定吃点别的东西。,wǒ zhèng zài chī shuǐ guǒ ， dàn hòu lái wǒ jué dìng chī diǎn bié de dōng xī 。
Who planted the big tree over there?,谁在那边种了一棵大树?,shuí zài nà biān zhǒng le yī kē dà shù ?
What will happen to the grass when winter comes?,冬天来了，草会怎么样呢?,dōng tiān lái le ， cǎo huì zěn me yàng ne ?
I know where bunnies hide.,我知道兔子藏在哪里。,wǒ zhī dào tù zǐ cáng zài nǎ lǐ 。
I always wondered why water has no taste.,我一直想知道为什么水没有味道。,wǒ yī zhí xiǎng zhī dào wéi shén me shuǐ méi yǒu wèi dào 。
How did you sleep?,你睡得怎么样?,nǐ shuì dé zěn me yàng ?
Sometimes I like to travel far away from home.,有时我喜欢到离家很远的地方去旅行。,yǒu shí wǒ xǐ huān dào lí jiā hěn yuǎn de dì fāng qù lǚ háng 。
Love is not just a word.,爱不只是一个字。,ài bù zhī shì yī gè zì 。
"We must take care of this planet, to be honest.",老实说，我们必须照顾好这个星球。,lǎo shí shuō ， wǒ mén bì xū zhào gù hǎo zhè gè xīng qiú 。
If I plant five trees maybe at least one will grow.,如果我种五棵树，也许至少会长出一棵树。,rú guǒ wǒ zhǒng wǔ kē shù ， yě xǔ zhì shǎo huì zhǎng chū yī kē shù 。
I never saw such wonderful river in my entire life.,我一生中从未见过如此美妙的河流。,wǒ yī shēng zhōng cóng wèi jiàn guò rú cǐ měi miào de hé liú 。
"Over time, nature healed, and grass, trees and animals replaced the bare dirt.",随着时间的推移，自然痊愈了，草、树和动物取代了裸露的泥土。,suí zhe shí jiān de tuī yí ， zì rán quán yù le ， cǎo 、 shù hé dòng wù qǔ dài le luǒ lù de ní tǔ 。
Sundown is another beautiful part of my day.,日落是我一天中另一个美丽的部分。,rì luò shì wǒ yī tiān zhōng lìng yī gè měi lì de bù fēn 。
I like to sit down on soft and bright green grass.,我喜欢坐在柔软而翠绿的草地上。,wǒ xǐ huān zuò zài róu ruǎn ér cuì lǜ de cǎo dì shàng 。
Snow was falling all night and in the morning everything was white.,雪下了一整夜，早上一切都是白色的。,xuě xià le yī zhěng yè ， zǎo shàng yī qiē dōu shì bái sè de 。
Oceans are just too big!,海洋太大了!,hǎi yáng tài dà le !
"Seven years ago, I saw a huge owl right there.",七年前，我在那里看到一只巨大的猫头鹰。,qī nián qián ， wǒ zài nà lǐ kàn dào yī zhī jù dà de māo tóu yīng 。
We like swimming in the river.,我们喜欢在河里游泳。,wǒ mén xǐ huān zài hé lǐ you yǒng 。
Stars shine bright tonight.,今晚星光闪耀。,jīn wǎn xīng guāng shǎn yào 。
A little wolf is playing with the wooden stick.,一只小狼正在玩木棍。,yī zhī xiǎo láng zhèng zài wán mù gùn 。
Sand on this beach is totally black.,沙滩上的沙子都是黑色的。,shā tān shàng de shā zǐ dōu shì hēi sè de 。
"The light in the sky was blue and green, moving slowly, like magic.",天空中的光是蓝色和绿色的，像魔法一样缓慢地移动着。,tiān kōng zhōng de guāng shì lán sè hé lǜ sè de ， xiàng mó fǎ yī yàng huǎn màn de yí dòng zhe 。
I can see the trees growing along the shore.,我能看见岸边长着树木。,wǒ néng kàn jiàn àn biān zhǎng zhe shù mù 。
"The air is crisp and fresh, and the night sky is clear.",空气清新，夜空清澈。,kōng qì qīng xīn ， yè kōng qīng chè 。
There is one last leaf left hanging from the barren tree.,这棵光秃秃的树上还剩下最后一片叶子。,zhè kē guāng tū tū de shù shàng hái shèng xià zuì hòu yī piàn yè zǐ 。
This summer my family is going on a long walk around the lake.,今年夏天我们全家要绕着湖长时间散步。,jīn nián xià tiān wǒ mén quán jiā yào rào zhe hú cháng shí jiān sàn bù 。
One of his eyes was purple and the other one was blue.,他的一只眼睛是紫色的，另一只是蓝色的。,tā de yī zhī yǎn jīng shì zǐ sè de ， lìng yī zhī shì lán sè de 。
It seems like it used to rain almost every day when I was a child.,当我还是个孩子的时候，似乎每天都在下雨。,dāng wǒ hái shì gè hái zǐ de shí hòu ， sì hū měi tiān dōu zài xià yǔ 。
The sea covers a larger part of the earth.,海洋覆盖了地球的很大一部分。,hǎi yáng fù gài le dì qiú de hěn dà yī bù fēn 。
"The bushes surround the forest, creating a boundary that protects the landscape.",灌木丛环绕着森林，形成了保护景观的边界。,guàn mù cóng huán rào zhe sēn lín ， xíng chéng le bǎo hù jǐng guān de biān jiè 。
The bees love to suck on the nectar of flowers.,蜜蜂喜欢吸食花蜜。,mì fēng xǐ huān xī shí huā mì 。
"These type of red rocks are rarely found, you have to be extremeley patient while digging.",这种类型的红色岩石很少被发现，在挖掘的时候你必须非常耐心。,zhè zhǒng lèi xíng de hóng sè yán shí hěn shǎo bèi fā xiàn ， zài wā jué de shí hòu nǐ bì xū fēi cháng nài xīn 。
Ocean waves were very high that day years back.,几年前的那天海浪很高。,jǐ nián qián de nà tiān hǎi làng hěn gāo 。
"Dark clouds part, allowing the suns rays to enter once again.",乌云散开，让阳光再次进入。,wū yún sàn kāi ， ràng yáng guāng zài cì jìn rù 。
Sunshine in the northern part of the country seems a lot different from the south.,这个国家北部的阳光似乎与南部有很大的不同。,zhè gè guó jiā běi bù de yáng guāng sì hū yǔ nán bù yǒu hěn dà de bù tóng 。
Shrubs are pretty much always seen growing all over the forest floor.,森林地面上到处都是灌木。,sēn lín dì miàn shàng dào chù dōu shì guàn mù 。
Did you ever climb up that super tall hill behind that one tree?,你爬过那棵树后面的那座超高的山吗?,nǐ pá guò nà kē shù hòu miàn de nà zuò chāo gāo de shān ma ?
"It's too far, we cannot walk there now, it's too late.",太远了，我们现在走不过去，太迟了。,tài yuǎn le ， wǒ mén xiàn zài zǒu bù guò qù ， tài chí le 。
"I like making this place mine, keeping it clean and fresh for anyone who comes by.",我喜欢把这个地方当作我的地盘，为任何路过的人保持干净和新鲜。,wǒ xǐ huān bǎ zhè gè dì fāng dāng zuò wǒ de dì pán ， wéi rèn hé lù guò de rén bǎo chí gàn jìng hé xīn xiān 。
"Look, the fire is blue right now, that is so cool!",看，现在火是蓝色的，太酷了!,kàn ， xiàn zài huǒ shì lán sè de ， tài kù le !
Have you ever tried making a fire all on your own?,你试过自己生火吗?,nǐ shì guò zì jǐ shēng huǒ ma ?
"You never actually see trees growing, they grow too slowly.",你根本看不到树在生长，它们生长得太慢了。,nǐ gēn běn kàn bù dào shù zài shēng cháng ， tā mén shēng zhǎng dé tài màn le 。
And so I kept dreaming like it was real life.,所以我一直梦想着这是真实的生活。,suǒ yǐ wǒ yī zhí mèng xiǎng zhe zhè shì zhēn shí de shēng huó 。
